AZ,EL,R,AZ_rot,EL_rot,R_rot,X,Y,Z,X_rot,Y_rot,Z_rot,Weights
-12.06851,-12.26428,0.11,348.9367,2.274013,0.11,0.1051139,-0.02247405,-0.02336634,0.1078707,-0.02109172,0.004364645,0.01574997
109.8116,13.11053,0.11,113.5334,10.41818,0.11,-0.03631038,0.1007918,0.02495134,-0.0431972,0.09918837,0.01989144,0.01567267
165.128,37.24687,0.11,169.4259,22.83004,0.11,-0.08463063,0.02247413,0.06657755,-0.09966095,0.01860439,0.04267987,0.01574997
40.49176,-52.1615,0.11,34.11525,-37.8061,0.11,0.0513171,0.04381619,-0.08687172,0.07195365,0.04874422,-0.06742902,0.01604663
117.9241,-13.32923,0.11,114.1515,-17.2102,0.11,-0.05012549,0.09457432,-0.02536008,-0.04299137,0.09587732,-0.0325466,0.01566058
-163.1725,63.2823,0.11,195.5668,47.48452,0.11,-0.04733781,-0.01431691,0.09825558,-0.07161003,-0.01994916,0.08108042,0.01613334
-30.62947,63.47036,0.11,295.8729,71.95652,0.11,0.04227769,-0.02503232,0.09841738,0.01486786,-0.03065611,0.1045904,0.0160186
-67.2326,-6.42689,0.11,294.5305,-3.195522,0.11,0.04230148,-0.1007918,-0.01231289,0.04559853,-0.09991584,-0.006131782,0.01567268
-78.02101,17.90505,0.11,277.3774,17.27229,0.11,0.02172508,-0.102393,0.03381846,0.01348749,-0.10417,0.03266044,0.01521427
63.00951,42.6092,0.11,77.97495,50.98063,0.11,0.03674251,0.07214085,0.07446936,0.01442837,0.06773447,0.08546264,0.01581425
-130.0812,42.25672,0.11,223.8002,29.2194,0.11,-0.05242109,-0.06229352,0.0739699,-0.0692911,-0.06644823,0.05369708,0.01566058
-143.329,17.04643,0.11,215.981,2.602971,0.11,-0.08435244,-0.06280806,0.03224613,-0.0889215,-0.06456013,0.004995626,0.01567268
83.0805,20.3352,0.11,89.88509,24.59119,0.11,0.01242628,0.1023931,0.0382263,0.0002006004,0.1000228,0.04577551,0.01521428
31.05815,31.29374,0.11,36.22261,46.03643,0.11,0.08052174,0.04849364,0.05713683,0.06160337,0.0451242,0.07917595,0.01576644
133.8562,31.70707,0.11,140.9501,22.46566,0.11,-0.06483841,0.06748028,0.05781343,-0.07894268,0.06404041,0.04203425,0.01566275
-129.5763,-5.773047,0.11,233.0177,-17.98109,0.11,-0.06972612,-0.08435544,-0.01106471,-0.06294053,-0.08357864,-0.03395734,0.01521426
-110.0898,-22.82492,0.11,257.3938,-30.38519,0.11,-0.03482547,-0.09521758,-0.04267082,-0.02070975,-0.09260339,-0.05563919,0.01490399
-172.7795,12.31479,0.11,187.7655,-3.476874,0.11,-0.1066167,-0.01350752,0.02346108,-0.1087906,-0.01483564,-0.006671022,0.01566275
-114.353,15.38367,0.11,243.7292,5.752751,0.11,-0.04373404,-0.09662197,0.02918095,-0.04844243,-0.09814153,0.01102594,0.01629306
26.86223,59.75923,0.11,41.7306,74.53785,0.11,0.04942194,0.02503223,0.09503083,0.02188563,0.01952037,0.1060187,0.01601861
88.58045,-5.078208,0.11,88.16138,-1.336524,0.11,0.002714356,0.1095346,-0.009736701,0.003528336,0.1099135,-0.00256571,0.01629305
-97.91755,63.57058,0.11,239.3622,55.14944,0.11,-0.006744201,-0.04849373,0.09850317,-0.0320331,-0.05408356,0.09027098,0.01576646
